datetime,precipitacao
2022-01-01,54.4
2022-01-02,0.2
2022-01-03,0.0
2022-01-04,0.0
2022-01-05,0.0
2022-01-06,0.6000000000000001
2022-01-07,5.0
2022-01-08,6.2
2022-01-09,0.2
2022-01-10,0.0
2022-01-11,0.0
2022-01-12,11.6
2022-01-13,1.0
2022-01-14,27.0
2022-01-15,0.2
2022-01-16,0.2
2022-01-17,41.4
2022-01-18,0.0
2022-01-19,0.0
2022-01-20,3.8
2022-01-21,3.2
2022-01-22,0.8
2022-01-23,2.2
2022-01-24,29.8
2022-01-25,0.4
2022-01-26,35.4
2022-01-27,46.4
2022-01-28,9.0
2022-01-29,29.2
2022-01-30,3.1999999999999997
2022-01-31,3.4000000000000004
2022-02-01,0.0
2022-02-02,19.0
2022-02-03,7.3999999999999995
2022-02-04,21.4
2022-02-05,1.4000000000000001
2022-02-06,13.2
2022-02-07,17.8
2022-02-08,20.4
2022-02-09,1.2
2022-02-10,2.2
2022-02-11,14.799999999999999
2022-02-12,0.4
2022-02-13,1.8
2022-02-14,31.2
2022-02-15,3.0
2022-02-16,3.8
2022-02-17,34.4
2022-02-18,74.2
2022-02-19,4.2
2022-02-20,3.0
2022-02-21,0.0
2022-02-22,0.0
2022-02-23,16.2
2022-02-24,0.0
2022-02-25,0.0
2022-02-26,23.4
2022-02-27,17.0
2022-02-28,2.8
2022-03-01,19.0
2022-03-02,4.0
2022-03-03,0.0
2022-03-04,1.6
2022-03-05,0.2
2022-03-06,0.0
2022-03-07,14.200000000000001
2022-03-08,1.0
2022-03-09,15.4
2022-03-10,1.4000000000000001
2022-03-11,2.4
2022-03-12,0.0
2022-03-13,21.400000000000002
2022-03-14,22.2
2022-03-15,0.8
2022-03-16,49.6
2022-03-17,2.4
2022-03-18,2.0
2022-03-19,18.2
2022-03-20,39.0
2022-03-21,0.2
2022-03-22,0.2
2022-03-23,10.399999999999999
2022-03-24,0.6000000000000001
2022-03-25,45.0
2022-03-26,1.2
2022-03-27,1.0
2022-03-28,22.0
2022-03-29,53.2
2022-03-30,32.0
2022-03-31,0.6000000000000001
2022-04-01,0.0
2022-04-02,72.8
2022-04-03,1.6
2022-04-04,0.0
2022-04-05,2.6
2022-04-06,9.8
2022-04-07,0.0
2022-04-08,35.2
2022-04-09,23.6
2022-04-10,17.6
2022-04-11,1.2
2022-04-12,5.6000000000000005
2022-04-13,0.0
2022-04-14,18.6
2022-04-15,87.2
2022-04-16,25.4
2022-04-17,42.800000000000004
2022-04-18,0.0
2022-04-19,26.4
2022-04-20,7.8
2022-04-21,0.4
2022-04-22,1.6
2022-04-23,0.0
2022-04-24,0.0
2022-04-25,0.0
2022-04-26,0.0
2022-04-27,0.0
2022-04-28,0.0
2022-04-29,52.8
2022-04-30,7.4
2022-05-01,1.4
2022-05-02,5.8
2022-05-03,0.0
2022-05-04,23.4
2022-05-05,0.0
2022-05-06,4.2
2022-05-07,39.4
2022-05-08,8.2
2022-05-09,0.0
2022-05-10,0.0
2022-05-11,2.2
2022-05-12,0.0
2022-05-13,0.0
2022-05-14,4.3999999999999995
2022-05-15,1.2
2022-05-16,4.6
2022-05-17,15.2
2022-05-18,3.0
2022-05-19,0.0
2022-05-20,0.6
2022-05-21,0.0
2022-05-22,0.0
2022-05-23,0.0
2022-05-24,0.0
2022-05-25,0.0
2022-05-26,0.0
2022-05-27,0.0
2022-05-28,0.0
2022-05-29,5.2
2022-05-30,1.4
2022-05-31,5.2
2022-06-01,4.800000000000001
2022-06-02,0.0
2022-06-03,0.0
2022-06-04,43.4
2022-06-05,7.8
2022-06-06,4.8
2022-06-07,0.0
2022-06-08,0.0
2022-06-09,0.0
2022-06-10,1.4
2022-06-11,34.0
2022-06-12,0.0
2022-06-13,17.0
2022-06-14,0.0
2022-06-15,10.6
2022-06-16,0.0
2022-06-17,0.0
2022-06-18,0.0
2022-06-19,0.2
2022-06-20,6.0
2022-06-21,15.2
2022-06-22,0.0
2022-06-23,0.0
2022-06-24,1.2
2022-06-25,0.0
2022-06-26,1.2
2022-06-27,0.0
2022-06-28,0.2
2022-06-29,0.0
2022-06-30,0.0
2022-07-01,0.0
2022-07-02,0.4
2022-07-03,3.2
2022-07-04,0.0
2022-07-05,0.0
2022-07-06,0.0
2022-07-07,0.0
2022-07-08,0.0
2022-07-09,0.4
2022-07-10,0.0
2022-07-11,0.0
2022-07-12,0.0
2022-07-13,0.0
2022-07-14,0.0
2022-07-15,0.0
2022-07-16,0.0
2022-07-17,0.0
2022-07-18,0.0
2022-07-19,0.0
2022-07-20,0.0
2022-07-21,13.2
2022-07-22,0.0
2022-07-23,0.0
2022-07-24,0.0
2022-07-25,0.0
2022-07-26,0.0
2022-07-27,0.0
2022-07-28,0.0
2022-07-29,0.8
2022-07-30,8.4
2022-07-31,0.0
2022-08-01,0.0
2022-08-02,0.4
2022-08-03,0.0
2022-08-04,0.0
2022-08-05,0.0
2022-08-06,0.0
2022-08-07,0.0
2022-08-08,0.0
2022-08-09,0.0
2022-08-10,0.0
2022-08-11,0.0
2022-08-12,0.0
2022-08-13,0.2
2022-08-14,0.0
2022-08-15,9.799999999999999
2022-08-16,0.0
2022-08-17,0.0
2022-08-18,0.0
2022-08-19,0.0
2022-08-20,4.2
2022-08-21,0.0
2022-08-22,0.0
2022-08-23,0.0
2022-08-24,0.6
2022-08-25,13.2
2022-08-26,0.0
2022-08-27,0.0
2022-08-28,4.0
2022-08-29,3.8000000000000003
2022-08-30,0.0
2022-08-31,0.0
2022-09-01,0.0
2022-09-02,0.0
2022-09-03,0.0
2022-09-04,0.0
2022-09-05,0.0
2022-09-06,0.8
2022-09-07,0.0
2022-09-08,0.2
2022-09-09,0.0
2022-09-10,0.0
2022-09-11,0.0
2022-09-12,3.6
2022-09-13,3.5999999999999996
2022-09-14,0.0
2022-09-15,0.0
2022-09-16,0.0
2022-09-17,0.0
2022-09-18,1.4
2022-09-19,0.0
2022-09-20,0.0
2022-09-21,0.0
2022-09-22,0.0
2022-09-23,0.0
2022-09-24,0.0
2022-09-25,0.0
2022-09-26,0.0
2022-09-27,0.0
2022-09-28,0.0
2022-09-29,0.0
2022-09-30,0.0
2022-10-01,9.0
2022-10-02,0.0
2022-10-03,28.6
2022-10-04,0.0
