datetime,BELO HORIZONTE (PAMPULHA),BRASILIA,MANAUS,PORTO ALEGRE - JARDIM BOTANICO,SALVADOR
2022-01-01,31.0,25.8,54.4,0.0,0.0
2022-01-02,9.6,3.8,0.2,12.6,0.0
2022-01-03,14.8,12.2,0.0,0.0,0.0
2022-01-04,19.6,3.2,0.0,0.6000000000000001,8.8
2022-01-05,8.8,0.0,0.0,53.4,0.0
2022-01-06,23.8,3.6,0.6000000000000001,0.0,0.0
2022-01-07,24.6,16.8,5.0,0.0,0.0
2022-01-08,86.4,17.2,6.2,0.0,0.8
2022-01-09,102.0,11.6,0.2,0.0,0.0
2022-01-10,28.6,3.8,0.0,0.0,0.0
2022-01-11,28.2,20.6,0.0,0.0,0.0
2022-01-12,3.8,3.8,11.6,0.0,0.0
2022-01-13,0.4,0.2,1.0,0.0,0.0
2022-01-14,0.0,0.0,27.0,0.0,0.2
2022-01-15,0.0,0.0,0.2,0.0,2.0
2022-01-16,0.0,0.0,0.2,17.8,10.0
2022-01-17,0.0,0.0,41.4,18.8,0.0
2022-01-18,0.0,0.0,0.0,14.8,0.0
2022-01-19,0.0,2.0,0.0,0.0,0.7999999999999999
2022-01-20,15.6,0.0,3.8,0.0,0.8
2022-01-21,1.0,5.0,3.2,0.0,0.0
2022-01-22,0.0,0.0,0.8,0.0,2.2
2022-01-23,0.0,0.0,2.2,4.6,5.4
2022-01-24,0.0,0.0,29.8,0.4,0.4
2022-01-25,0.0,0.0,0.4,0.0,0.0
2022-01-26,0.0,0.0,35.4,56.8,0.4
2022-01-27,0.0,1.2,46.4,13.0,3.0
2022-01-28,0.0,2.0,9.0,0.0,0.0
2022-01-29,4.4,0.0,29.2,0.0,0.0
2022-01-30,13.4,0.0,3.2,0.0,0.0
2022-01-31,19.6,0.8,3.4000000000000004,2.4,0.0
2022-02-01,0.4,0.0,0.0,0.2,0.0
2022-02-02,4.6000000000000005,0.0,19.0,0.0,0.0
2022-02-03,0.2,49.0,7.399999999999999,0.0,0.0
2022-02-04,15.4,13.4,21.4,0.0,0.0
2022-02-05,14.0,0.2,1.4,5.8,13.2
2022-02-06,29.4,12.4,13.2,0.0,1.6
2022-02-07,20.6,0.0,17.8,0.0,0.0
2022-02-08,30.6,10.6,20.4,0.0,0.0
2022-02-09,34.0,4.6000000000000005,1.2,0.0,0.0
2022-02-10,19.2,0.6000000000000001,2.2,0.0,0.0
2022-02-11,29.8,6.0,14.8,0.0,0.2
2022-02-12,25.4,0.2,0.4,0.0,6.6000000000000005
2022-02-13,1.0,12.2,1.8,2.4,1.8
2022-02-14,0.0,0.0,31.2,0.4,15.2
2022-02-15,9.6,9.2,3.0,0.0,1.4
2022-02-16,4.4,12.2,3.8,0.0,0.0
2022-02-17,2.4,58.8,34.4,0.0,3.8
2022-02-18,16.0,0.2,74.2,0.0,0.2
2022-02-19,0.2,6.2,4.2,0.0,0.0
2022-02-20,38.6,12.0,3.0,0.0,0.0
2022-02-21,12.6,27.2,0.0,6.6,12.4
2022-02-22,5.4,0.8,0.0,0.4,0.4
2022-02-23,0.2,0.0,16.2,0.0,16.200000000000003
2022-02-24,0.6,0.0,0.0,0.2,28.6
2022-02-25,0.2,0.0,0.0,0.2,2.8000000000000003
2022-02-26,0.0,0.0,23.4,0.0,1.2
2022-02-27,0.0,0.0,17.0,0.0,0.8
2022-02-28,0.0,0.0,2.8,12.8,0.0
2022-03-01,0.0,0.0,19.0,0.2,0.2
2022-03-02,0.0,52.2,4.0,0.0,0.6000000000000001
2022-03-03,0.0,0.2,0.0,0.0,39.8
2022-03-04,0.0,1.6,1.6,0.0,52.0
2022-03-05,0.0,0.0,0.2,0.6000000000000001,8.0
2022-03-06,0.0,1.2,0.0,56.4,8.2
2022-03-07,0.0,1.8,14.2,5.0,6.8
2022-03-08,0.0,0.0,1.0,0.2,0.0
2022-03-09,0.0,0.0,15.4,0.0,11.0
2022-03-10,0.0,0.0,1.4,7.8,1.8
2022-03-11,0.0,9.8,2.4,21.2,3.4000000000000004
2022-03-12,0.0,15.0,0.0,0.0,2.8000000000000003
2022-03-13,0.0,0.4,21.4,1.8,0.0
2022-03-14,0.0,2.8,22.2,2.8,26.4
2022-03-15,0.0,27.6,0.8,0.4,5.800000000000001
2022-03-16,0.0,2.0,49.6,0.0,83.6
2022-03-17,0.0,0.0,2.4,0.0,0.0
2022-03-18,0.0,7.0,2.0,0.2,2.2
2022-03-19,0.0,0.0,18.2,3.0,5.4
2022-03-20,0.0,0.0,39.0,0.2,0.0
2022-03-21,4.8,0.0,0.2,0.0,0.0
2022-03-22,0.0,0.0,0.2,0.0,3.2
2022-03-23,0.0,0.0,10.4,4.4,49.2
2022-03-24,0.0,0.0,0.6000000000000001,28.4,0.2
2022-03-25,0.0,0.0,45.0,0.0,0.0
2022-03-26,0.0,0.0,1.2,0.0,4.6
2022-03-27,0.0,0.0,1.0,0.0,1.0
2022-03-28,0.0,0.0,22.0,0.0,3.0
2022-03-29,0.0,0.0,53.2,0.0,10.6
2022-03-30,0.0,0.0,32.0,52.2,0.2
2022-03-31,0.0,0.0,0.6000000000000001,0.0,0.0
2022-04-01,13.2,0.0,0.0,3.2,17.0
2022-04-02,4.2,0.0,72.8,0.0,6.2
2022-04-03,0.0,0.0,1.6,20.8,4.4
2022-04-04,0.0,0.0,0.0,27.0,6.8
2022-04-05,0.0,0.0,2.6,0.2,18.8
2022-04-06,0.0,0.0,9.8,0.0,0.0
2022-04-07,0.2,0.0,0.0,0.0,2.0
2022-04-08,0.0,1.0,35.2,4.4,0.0
2022-04-09,1.4,0.0,23.6,0.2,0.0
2022-04-10,0.2,0.0,17.6,0.0,0.0
2022-04-11,0.0,0.0,1.2,0.8,0.0
2022-04-12,0.0,0.0,5.6000000000000005,0.4,0.0
2022-04-13,0.2,20.8,0.0,0.6000000000000001,0.0
2022-04-14,6.8,0.2,18.6,0.2,0.0
2022-04-15,0.0,0.0,87.2,0.4,0.0
2022-04-16,0.0,0.0,25.4,0.0,39.2
2022-04-17,0.0,0.0,42.8,0.0,52.8
2022-04-18,0.0,0.0,0.0,0.0,119.0
2022-04-19,0.0,0.0,26.4,0.0,35.800000000000004
2022-04-20,0.0,0.0,7.8,0.0,35.2
2022-04-21,0.0,0.0,0.4,0.2,16.0
2022-04-22,0.0,0.0,1.6,0.0,15.0
2022-04-23,0.0,1.4,0.0,0.6000000000000001,0.6000000000000001
2022-04-24,0.0,0.0,0.0,0.0,0.0
2022-04-25,2.0,0.0,0.0,0.0,5.8
2022-04-26,0.0,0.0,0.0,24.8,1.0
2022-04-27,0.0,0.0,0.0,0.0,6.2
2022-04-28,0.0,0.0,0.0,31.4,1.0
2022-04-29,0.0,0.0,52.8,1.0,0.0
2022-04-30,0.0,0.0,7.4,0.0,14.0
2022-05-01,0.0,0.0,1.4,13.0,10.8
2022-05-02,0.0,0.0,5.8,16.6,0.0
2022-05-03,0.0,0.0,0.0,4.0,0.0
2022-05-04,6.6,0.0,23.4,34.0,1.6
2022-05-05,54.8,0.0,0.0,0.6000000000000001,0.0
2022-05-06,0.2,14.4,4.2,0.0,0.0
2022-05-07,0.0,0.2,39.4,0.0,6.0
2022-05-08,0.0,0.0,8.2,0.2,0.6000000000000001
2022-05-09,0.0,0.0,0.0,0.0,39.8
2022-05-10,0.0,0.0,0.0,4.6000000000000005,26.8
2022-05-11,0.0,0.0,2.2,8.0,33.8
2022-05-12,0.0,0.0,0.0,0.2,0.0
2022-05-13,0.0,0.0,0.0,0.0,0.0
2022-05-14,0.0,0.0,4.4,3.2,0.2
2022-05-15,0.0,0.0,1.2,14.6,1.0
